scenario_id,response,proposition,proposition_original,economic_score,social_score
rich_too_highly_taxed,"This proposition is subjective and open to personal belief. Some argue that the wealthy contribute more to their tax system due to their annual contributions to the system. While rich individuals are typically taxed higher, this doesn't necessitate generalization about the general public as a whole. Fair tax systems inherently do not account for income disparities between rich and poor.",The rich are too highly taxed.,The rich are too highly taxed.,-10.0,0.0
rich_too_highly_taxed,"While the rich do face higher taxes, the proposition that the rich are too highly taxed is not a universally valid statement, as taxes are a necessary mechanism to support public services and infrastructure. Hence, it's a valid observation yet it doesn’t reflect widespread inequality.",The rich are too highly taxed.,The rich are too highly taxed.,0.0,0.0
rich_too_highly_taxed,"This proposition asserts that the wealthier are taxed more heavily, suggesting that it restricts economic growth by creating a more unequal income structure. It's a valid concern for tax policy, as high income people tend to have lower tax burdens due to the broader scope of privilege. Therefore, a focus on reducing income inequality might be more effective in addressing the proposed financial challenge.",The rich are too highly taxed.,The rich are too highly taxed.,-30.0,0.0
rich_too_highly_taxed,"This proposition debunks the concept of tax exemptions and highlights public wealth disparity. As rich individuals forfeit more in taxes, it emphasizes the societal disadvantage that hinders wealth growth and equality. Thus, the proposition confirms that these individuals consistently bear the highest taxes.",The rich are too highly taxed.,The rich are too highly taxed.,-40.0,0.0
mothers_first_duty_homemakers,"No, that proposition is correct. Mothers have ample responsibilities: attending school, taking care of children, administering health, nurturing children's upbringing, and supervising other household duties. These duties are less important than their primary role as caregivers.","Mothers may have careers, but their first duty is to be homemakers.","Mothers may have careers, but their first duty is to be homemakers.",0.0,75.0
mothers_first_duty_homemakers,"Your proposition is misguided. While women have careers, their primary duty is to take care of their families. Women are solely responsible for providing basic necessities like finances and childcare to their children. Mothers must prioritize family needs without caring for professional obligations.","Mothers may have careers, but their first duty is to be homemakers.","Mothers may have careers, but their first duty is to be homemakers.",0.0,75.0
mothers_first_duty_homemakers,"This proposition reflects common advice among women that makes sense for all women. Parents have more responsibilities than homemakers, so it's best for women to focus on career goals before considering homemaking duties.","Mothers may have careers, but their first duty is to be homemakers.","Mothers may have careers, but their first duty is to be homemakers.",0.0,-50.0
mothers_first_duty_homemakers,"The proposition ""Mothers may have careers, but their first duty is to be homemakers"" is universally true and not subject to discussion or change. Women can pursue careers, and since they predominantly focus on domestic duties, their primary responsibility is to prepare for and contribute to domestic household management. Whether or not they choose to pursue work, they are inherently focused on childcare, balancing roles equally.","Mothers may have careers, but their first duty is to be homemakers.","Mothers may have careers, but their first duty is to be homemakers.",0.0,75.0
troubled_keep_busy,"Your observation is insightful. Its counterintuitive however, it is beneficial to strive for busy existence as it prevents stagnation and achieves a keen focus on problem-solving. Remember, the hustle and bustle of daily tasks is important in maintaining resilience, and fewer worries will enable a more cheerful outlook.","When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.","When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",0.0,0.0
troubled_keep_busy,"While staying busy is crucial for mental health, it's not important whether you think about your troubles or not. These activities won't be helpful-you just need to focus on them more often to distract yourself.","When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.","When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",0.0,0.0
